,Ruling,Name,Quote,Description,Date
0,true,Kamala Harris,"""As of today, we have cut the flow of immigration by over half.""",a CNN town hall,"October 23, 2024 "
1,true,Social Media,Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance.”,social media posts,"September 24, 2024 "
2,true,Kamala Harris,“Donald Trump said he was going to allow Medicare to negotiate drug prices. He never did. We did.”,the ABC News presidential debate,"September 10, 2024 "
3,true,Robert  Cowles,“The most recent State Budget increased funding for the Department of Tourism by 98 percent.”,Radio address,"July 12, 2024 "
4,true,Elizabeth Warren,"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",an interview,"August 25, 2024 "
5,true,Tim Walz,"JD Vance “literally wrote the foreword for the architect of the Project 2025 agenda.""",a speech,"August 6, 2024 "
6,true,JD Vance,"Says Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”",a news conference,"August 7, 2024 "
7,true,Byron Donalds,"""Tim Walz firmó una ley para dar licencia de conducir a inmigrantes ilegales en Minnesota"".",una entrevista,"August 6, 2024 "
8,true,Byron Donalds,"""Tim Walz signed into law driver's licenses for illegal immigrants in Minnesota.""",an interview,"August 6, 2024 "
9,true,Tammy Baldwin,"Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”",Public appearance,"July 23, 2024 "
10,true,Kamala Harris,Project 2025 would “end Head Start.”,a campaign event ,"July 18, 2024 "
11,true,Kamala Harris,"Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",a moderated conversation,"July 6, 2024 "
12,true,Byron Donalds,"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",an interview on Fox News Sunday,"July 7, 2024 "
13,true,David Crowley,“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,Public appearance,"May 16, 2024 "
14,true,Tony Evers,Wisconsin had a “record-breaking year” for tourism in 2023.,"X, formerly Twitter","June 11, 2024 "
15,true,Social Media,"Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”",a post,"May 30, 2024 "
16,true,Joe Biden,“Violent crime is near a record 50-year low.”,a speech at a police memorial service,"May 15, 2024 "
17,true,Tyler August,“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,Newsletter,"May 3, 2024 "
18,true,Mark Pocan,"“We passed 27 bills last year, which is the fewest since the Depression.”",Public appearance,"March 27, 2024 "
19,true,Lisa Subeck,"“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”","X, formerly Twitter","February 16, 2024 "
20,true,Brian Schimming,"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",Media call,"March 6, 2024 "
21,true,Tammy Baldwin,“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,Public appearance,"March 7, 2024 "
22,true,Sarah Godlewski,"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",Public appearance,"March 3, 2024 "
23,true,António Guterres,"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",,"March 18, 2024 "
24,true,Patrick Burke,The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,a press release,"March 2, 2024 "
25,true,Tony Evers,“We're having the largest classes of correctional officers we've ever had before.”,TV interview,"February 11, 2024 "
26,true,Elise Stefanik,"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",a television interview,"January 28, 2024 "
27,true,Kirsten Gillibrand,“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,a newsletter for constituents,"February 3, 2024 "
28,true,Chris Larson,"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.","X, formerly Twitter","November 9, 2023 "
29,true,Joe Biden,"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",a campaign ad,"February 13, 2024 "
30,true,Kelda Helen Roys,Minnesota incarcerates “about a third of what Wisconsin does.”,Public appearance,"February 1, 2024 "
31,true,Kamala Harris,Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,an interview with Univision Noticias,"January 29, 2024 "
32,true,Tammy Baldwin,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”","X, formerly Twitter","January 21, 2024 "
33,true,Scott Walker,"""(The) top issue for college students is the economy.""",TV interview,"January 21, 2024 "
34,true,Tony Evers,"“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",Speech,"January 23, 2024 "
35,true,Kamala Harris,"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",a speech,"January 22, 2024 "
36,true,Ron DeSantis,"Donald Trump “deported less, believe it or not, than Barack Obama even did.""",a town hall,"January 2, 2024 "
37,true,Nikki Haley,"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”",a town hall ,"December 14, 2023 "
38,true,Jill Billings,"“With school-based professional social workers, the recommendation is 400-to-1, and in Wisconsin, we’re almost triple that.”",Assembly floor speech,"November 14, 2023 "
39,true,Marianne Williamson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",an event ,"November 7, 2023 "
40,true,Ted Cruz,“We produce a lot more wind energy in Texas than California does.”,An interview on CNBC,"November 6, 2023 "
41,true,Melissa Agard,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""","X, formerly Twitter","July 27, 2023 "
42,true,Melissa Agard,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Public appearance,"October 17, 2023 "
43,true,Instagram posts,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,an Instagram post,"October 8, 2023 "
44,true,Brian Krassenstein,"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",a post on X,"October 12, 2023 "
45,true,Mike Oliverio,"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",a Facebook post,"August 29, 2023 "
46,true,Instagram posts,"""Beyonce paid $100K for Maryland Metro to run later following weather delays for her concert.”",an Instagram post,"August 7, 2023 "
47,true,Donald Trump,Florida has “the highest” homeowners insurance in the nation.,a speech,"July 15, 2023 "
48,true,Facebook posts,More than “200 dogs showed up and lined up around the block” for a man’s 100th birthday celebration.,a reel,"June 23, 2023 "
